full_date,day_of_week_en,day,month_en,year,country,holiday_name,season
12/22/2014,Monday,22,December,2014,Algeria,December Solstice,Season
1/1/2014,Wednesday,1,January,2014,American Samoa,New Year's Day,Public Holiday
1/20/2014,Monday,20,January,2014,American Samoa,Martin Luther King Jr. Day,Public Holiday
2/17/2014,Monday,17,February,2014,American Samoa,President's Day,Public Holiday
3/20/2014,Thursday,20,March,2014,American Samoa,March Equinox,Season
4/17/2014,Thursday,17,April,2014,American Samoa,Flag Day,Public Holiday
4/18/2014,Friday,18,April,2014,American Samoa,Good Friday,Public Holiday
5/26/2014,Monday,26,May,2014,American Samoa,Memorial Day,Public Holiday
6/20/2014,Friday,20,June,2014,American Samoa,June Solstice,Season
7/4/2014,Friday,4,July,2014,American Samoa,Independence Day,Public Holiday
9/1/2014,Monday,1,September,2014,American Samoa,Labor Day,Public Holiday
9/22/2014,Monday,22,September,2014,American Samoa,September Equinox,Season
10/13/2014,Monday,13,October,2014,American Samoa,Columbus Day,Public Holiday
11/11/2014,Tuesday,11,November,2014,American Samoa,Veterans' Day,Public Holiday
11/27/2014,Thursday,27,November,2014,American Samoa,Thanksgiving,Public Holiday
12/21/2014,Sunday,21,December,2014,American Samoa,December Solstice,Season
12/25/2014,Thursday,25,December,2014,American Samoa,Christmas Day,Public Holiday
1/1/2014,Wednesday,1,January,2014,Andorra,New Year's Day,National holiday
1/6/2014,Monday,6,January,2014,Andorra,Epiphany,National holiday
3/3/2014,Monday,3,March,2014,Andorra,Carnival,National holiday
3/14/2014,Friday,14,March,2014,Andorra,Constitution Day,National holiday
3/20/2014,Thursday,20,March,2014,Andorra,March Equinox,Season
3/30/2014,Sunday,30,March,2014,Andorra,Daylight Saving Time starts,Clock change/Daylight Saving Time
4/17/2014,Thursday,17,April,2014,Andorra,Maundy Thursday,Bank holiday
4/18/2014,Friday,18,April,2014,Andorra,Good Friday,National holiday
4/19/2014,Saturday,19,April,2014,Andorra,Holy Saturday,Bank holiday
4/20/2014,Sunday,20,April,2014,Andorra,Easter Sunday,Bank holiday
4/21/2014,Monday,21,April,2014,Andorra,Easter Monday,National holiday
5/1/2014,Thursday,1,May,2014,Andorra,May Day,National holiday
5/29/2014,Thursday,29,May,2014,Andorra,Ascension Day,Bank holiday
6/8/2014,Sunday,8,June,2014,Andorra,Whit Sunday,Observance
6/9/2014,Monday,9,June,2014,Andorra,Whit Monday,National holiday
6/21/2014,Saturday,21,June,2014,Andorra,June Solstice,Season
6/24/2014,Tuesday,24,June,2014,Andorra,Midsummer Day,Bank holiday
8/15/2014,Friday,15,August,2014,Andorra,Assumption of Mary,National holiday
9/8/2014,Monday,8,September,2014,Andorra,National Day,National holiday
9/23/2014,Tuesday,23,September,2014,Andorra,September Equinox,Season
10/26/2014,Sunday,26,October,2014,Andorra,Daylight Saving Time ends,Clock change/Daylight Saving Time
11/1/2014,Saturday,1,November,2014,Andorra,All Saints' Day,National holiday
11/4/2014,Tuesday,4,November,2014,Andorra,Day of St Charles Borromeu,Bank holiday
12/8/2014,Monday,8,December,2014,Andorra,Feast of the Immaculate Conception,National holiday
12/22/2014,Monday,22,December,2014,Andorra,December Solstice,Season
12/24/2014,Wednesday,24,December,2014,Andorra,Christmas Eve,Bank holiday
12/25/2014,Thursday,25,December,2014,Andorra,Christmas Day,National holiday
12/26/2014,Friday,26,December,2014,Andorra,Boxing Day,National holiday
12/31/2014,Wednesday,31,December,2014,Andorra,New Year's Eve (Bank holiday),Bank holiday
1/1/2014,Wednesday,1,January,2014,Angola,New Year,Public Holiday
2/4/2014,Tuesday,4,February,2014,Angola,Liberation Movement Day,Public Holiday
3/4/2014,Tuesday,4,March,2014,Angola,Carnival,Public Holiday
3/8/2014,Saturday,8,March,2014,Angola,International Woman's Day,Public Holiday
3/20/2014,Thursday,20,March,2014,Angola,March Equinox,Season
3/23/2014,Sunday,23,March,2014,Angola,Southern Africa Liberation Day,Public Holiday
3/24/2014,Monday,24,March,2014,Angola,Day off for Southern Africa Liberation Day,Public Holiday
4/4/2014,Friday,4,April,2014,Angola,Peace Day,Public Holiday
4/18/2014,Friday,18,April,2014,Angola,Good Friday,Public Holiday
5/1/2014,Thursday,1,May,2014,Angola,May Day,Public Holiday
6/21/2014,Saturday,21,June,2014,Angola,June Solstice,Season
9/17/2014,Wednesday,17,September,2014,Angola,National Hero Day,Public Holiday
9/23/2014,Tuesday,23,September,2014,Angola,September Equinox,Season
11/2/2014,Sunday,2,November,2014,Angola,All Souls' Day,Public Holiday
11/3/2014,Monday,3,November,2014,Angola,Day off for All Souls' Day,Public Holiday
11/11/2014,Tuesday,11,November,2014,Angola,Independence Day,Public Holiday
12/22/2014,Monday,22,December,2014,Angola,December Solstice,Season
12/25/2014,Thursday,25,December,2014,Angola,Christmas Day,Public Holiday
1/1/2014,Wednesday,1,January,2014,Anguilla,New Year's Day,Public Holiday
3/2/2014,Sunday,2,March,2014,Anguilla,James Ronald Webster Day,Public Holiday
3/3/2014,Monday,3,March,2014,Anguilla,Day off for James Ronald Webster Day,Public Holiday
3/20/2014,Thursday,20,March,2014,Anguilla,March Equinox,Season
4/18/2014,Friday,18,April,2014,Anguilla,Good Friday,Public Holiday
4/21/2014,Monday,21,April,2014,Anguilla,Easter Monday,Public Holiday
5/1/2014,Thursday,1,May,2014,Anguilla,Labor Day / May Day,Public Holiday
5/30/2014,Friday,30,May,2014,Anguilla,Anguilla Day,Public Holiday
6/9/2014,Monday,9,June,2014,Anguilla,Whit Monday,Public Holiday
6/9/2014,Monday,9,June,2014,Anguilla,Sovereign's Birthday,Public Holiday
6/21/2014,Saturday,21,June,2014,Anguilla,June Solstice,Season
8/4/2014,Monday,4,August,2014,Anguilla,August Monday,Public Holiday
8/7/2014,Thursday,7,August,2014,Anguilla,August Thursday,Public Holiday
8/8/2014,Friday,8,August,2014,Anguilla,Constitution Day,Public Holiday
9/22/2014,Monday,22,September,2014,Anguilla,September Equinox,Season
12/19/2014,Friday,19,December,2014,Anguilla,Separation Day,Public Holiday
12/21/2014,Sunday,21,December,2014,Anguilla,December Solstice,Season
12/25/2014,Thursday,25,December,2014,Anguilla,Christmas Day,Public Holiday
12/26/2014,Friday,26,December,2014,Anguilla,Boxing Day,Public Holiday
1/1/2014,Wednesday,1,January,2014,Antigua and Barbuda,New Year's Day,Public Holiday
3/20/2014,Thursday,20,March,2014,Antigua and Barbuda,March Equinox,Season
4/18/2014,Friday,18,April,2014,Antigua and Barbuda,Good Friday,Public Holiday
4/21/2014,Monday,21,April,2014,Antigua and Barbuda,Easter Monday,Public Holiday
5/5/2014,Monday,5,May,2014,Antigua and Barbuda,Labour Day,Public Holiday
6/9/2014,Monday,9,June,2014,Antigua and Barbuda,Whit Monday,Public Holiday
6/21/2014,Saturday,21,June,2014,Antigua and Barbuda,June Solstice,Season
8/4/2014,Monday,4,August,2014,Antigua and Barbuda,Carnival Holiday,Public Holiday
8/5/2014,Tuesday,5,August,2014,Antigua and Barbuda,Carnival Holiday,Public Holiday
9/22/2014,Monday,22,September,2014,Antigua and Barbuda,September Equinox,Season
11/1/2014,Saturday,1,November,2014,Antigua and Barbuda,Independence Day,Public Holiday
11/3/2014,Monday,3,November,2014,Antigua and Barbuda,Independence Day observed,Public Holiday
12/9/2014,Tuesday,9,December,2014,Antigua and Barbuda,National Heroes Day,Public Holiday
12/21/2014,Sunday,21,December,2014,Antigua and Barbuda,December Solstice,Season
12/25/2014,Thursday,25,December,2014,Antigua and Barbuda,Christmas Day,Public Holiday
12/26/2014,Friday,26,December,2014,Antigua and Barbuda,Boxing Day,Public Holiday
1/1/2014,Wednesday,1,January,2014,Argentina,New Year's Day,National holiday
3/3/2014,Monday,3,March,2014,Argentina,Carnival / Shrove Monday,National holiday
3/4/2014,Tuesday,4,March,2014,Argentina,Carnival / Shrove Tuesday,National holiday
3/20/2014,Thursday,20,March,2014,Argentina,March Equinox,Season
3/24/2014,Monday,24,March,2014,Argentina,Memorial Day,National holiday
4/2/2014,Wednesday,2,April,2014,Argentina,Day of the Veterans,National holiday
4/14/2014,Monday,14,April,2014,Argentina,Passover Eve,Observance
4/15/2014,Tuesday,15,April,2014,Argentina,First day of Passover,Observance
4/16/2014,Wednesday,16,April,2014,Argentina,Second Day of Passover,Observance
4/17/2014,Thursday,17,April,2014,Argentina,Maundy Thursday,"National holiday, Christian"
4/18/2014,Friday,18,April,2014,Argentina,Good Friday,"National holiday, Christian"
4/20/2014,Sunday,20,April,2014,Argentina,Easter Sunday,"Observance, Christian"
4/20/2014,Sunday,20,April,2014,Argentina,Sixth Day of Passover,Observance
4/21/2014,Monday,21,April,2014,Argentina,Seventh Day of Passover,Observance
4/22/2014,Tuesday,22,April,2014,Argentina,Last day of Passover,Observance
4/24/2014,Thursday,24,April,2014,Argentina,Action Day for Tolerance and Respect between People,Observance
5/1/2014,Thursday,1,May,2014,Argentina,Labor Day / May Day,National holiday
5/2/2014,Friday,2,May,2014,Argentina,Bridge Public Holiday,National holiday
5/25/2014,Sunday,25,May,2014,Argentina,National Day/May 1810 Revolution,National holiday
6/20/2014,Friday,20,June,2014,Argentina,Flag Day,National holiday
6/21/2014,Saturday,21,June,2014,Argentina,June Solstice,Season
7/9/2014,Wednesday,9,July,2014,Argentina,Independence day,National holiday
7/28/2014,Monday,28,July,2014,Argentina,End of Ramadan,Muslim
8/18/2014,Monday,18,August,2014,Argentina,San Mart<U+00ED>n Day,National holiday
9/22/2014,Monday,22,September,2014,Argentina,September Equinox,Season
9/24/2014,Wednesday,24,September,2014,Argentina,Rosh Hashana Eve,Hebrew
9/25/2014,Thursday,25,September,2014,Argentina,Rosh Hashana,Hebrew
9/26/2014,Friday,26,September,2014,Argentina,Second day of Rosh Hashana,Hebrew
10/3/2014,Friday,3,October,2014,Argentina,Yom Kippur Eve,Hebrew
10/4/2014,Saturday,4,October,2014,Argentina,Yom Kippur,Hebrew
10/5/2014,Sunday,5,October,2014,Argentina,Eid al-Adha,Muslim
10/13/2014,Monday,13,October,2014,Argentina,Day of respect for cultural diversity,National holiday
10/25/2014,Saturday,25,October,2014,Argentina,Muharram/New Year,Muslim
11/24/2014,Monday,24,November,2014,Argentina,National Sovereignty Day,National holiday
12/8/2014,Monday,8,December,2014,Argentina,Feast of the Immaculate Conception,National holiday
12/21/2014,Sunday,21,December,2014,Argentina,December Solstice,Season
12/25/2014,Thursday,25,December,2014,Argentina,Christmas Day,"National holiday, Christian"
12/26/2014,Friday,26,December,2014,Argentina,Bridge Public Holiday,National holiday
12/31/2014,Wednesday,31,December,2014,Argentina,New Year's Eve,Observance
1/1/2014,Wednesday,1,January,2014,Armenia,New Year's Day,National holiday
1/2/2014,Thursday,2,January,2014,Armenia,New Year's Day (Day 2),National holiday
1/3/2014,Friday,3,January,2014,Armenia,New Year's Day (Day 3),National holiday
1/4/2014,Saturday,4,January,2014,Armenia,New Year's Day (Day 4),National holiday
1/5/2014,Sunday,5,January,2014,Armenia,Christmas Eve,National holiday
1/6/2014,Monday,6,January,2014,Armenia,Christmas Day,National holiday
1/7/2014,Tuesday,7,January,2014,Armenia,Christmas Remembrance Day,National holiday
1/27/2014,Monday,27,January,2014,Armenia,Army Day holiday,National holiday
1/28/2014,Tuesday,28,January,2014,Armenia,Army Day,National holiday
2/1/2014,Saturday,1,February,2014,Armenia,Special Working Day,Working day on weekend
2/14/2014,Friday,14,February,2014,Armenia,Valentine's Day,Observance
2/27/2014,Thursday,27,February,2014,Armenia,Feast of Saint Vartan,Observance
3/8/2014,Saturday,8,March,2014,Armenia,International Women's Day,National holiday
3/20/2014,Thursday,20,March,2014,Armenia,March Equinox,Season
4/7/2014,Monday,7,April,2014,Armenia,Motherhood and Beauty Day,Observance
4/18/2014,Friday,18,April,2014,Armenia,Good Friday,Observance
4/19/2014,Saturday,19,April,2014,Armenia,Holy Saturday,Observance
4/20/2014,Sunday,20,April,2014,Armenia,Easter Sunday,Observance
4/21/2014,Monday,21,April,2014,Armenia,Easter Monday,National holiday
4/24/2014,Thursday,24,April,2014,Armenia,Genocide Remembrance Day,National holiday
4/26/2014,Saturday,26,April,2014,Armenia,Special Working Day,Working day on weekend
5/1/2014,Thursday,1,May,2014,Armenia,Labour Day/May Day,National holiday
5/2/2014,Friday,2,May,2014,Armenia,Labour Day/May Day holiday,National holiday
5/8/2014,Thursday,8,May,2014,Armenia,Yerkrapah Day,Observance
5/9/2014,Friday,9,May,2014,Armenia,Victory and Peace Day,National holiday
5/28/2014,Wednesday,28,May,2014,Armenia,Republic Day,National holiday
5/31/2014,Saturday,31,May,2014,Armenia,Special Working Day,Working day on weekend
6/1/2014,Sunday,1,June,2014,Armenia,Children's Day,Observance
6/15/2014,Sunday,15,June,2014,Armenia,Fathers' Day,Observance
6/21/2014,Saturday,21,June,2014,Armenia,June Solstice,Season
7/5/2014,Saturday,5,July,2014,Armenia,Constitution Day,National holiday
7/27/2014,Sunday,27,July,2014,Armenia,Vardavar,National holiday
7/28/2014,Monday,28,July,2014,Armenia,Vardavar holiday,National holiday
8/18/2014,Monday,18,August,2014,Armenia,Extra holiday,National holiday
8/23/2014,Saturday,23,August,2014,Armenia,Special Working Day,Working day on weekend
9/1/2014,Monday,1,September,2014,Armenia,Knowledge and Literature Day,Observance
9/15/2014,Monday,15,September,2014,Armenia,Extra holiday,National holiday
9/20/2014,Saturday,20,September,2014,Armenia,Special Working Day,Working day on weekend
9/21/2014,Sunday,21,September,2014,Armenia,Independence Day,National holiday
9/23/2014,Tuesday,23,September,2014,Armenia,September Equinox,Season
10/11/2014,Saturday,11,October,2014,Armenia,Translators' Day,Observance
10/31/2014,Friday,31,October,2014,Armenia,Halloween,Observance
12/7/2014,Sunday,7,December,2014,Armenia,Spitak Remembrance Day,Observance
12/22/2014,Monday,22,December,2014,Armenia,December Solstice,Season
12/31/2014,Wednesday,31,December,2014,Armenia,New Year's Eve,National holiday
1/1/2014,Wednesday,1,January,2014,Australia,New Year's Day,National Holiday
1/6/2014,Monday,6,January,2014,Australia,Epiphany, 
1/7/2014,Tuesday,7,January,2014,Australia,Orthodox Christmas Day,Christian
1/14/2014,Tuesday,14,January,2014,Australia,Milad un Nabi (Mawlid), 
1/14/2014,Tuesday,14,January,2014,Australia,Orthodox New Year,Orthodox
1/14/2014,Tuesday,14,January,2014,Australia,Hari Maulad Nabi, 
1/16/2014,Thursday,16,January,2014,Australia,Tu B'Shevat (Arbor Day),Muslim
1/26/2014,Sunday,26,January,2014,Australia,Australia Day, 
1/27/2014,Monday,27,January,2014,Australia,Australia Day Observed,Orthodox
1/31/2014,Friday,31,January,2014,Australia,Chinese New Year, 
2/10/2014,Monday,10,February,2014,Australia,Royal Hobart Regatta,State Holiday
2/14/2014,Friday,14,February,2014,Australia,Valentine's Day,Cocos and Keeling Islands
3/3/2014,Monday,3,March,2014,Australia,Labour Day,Jewish holiday
3/4/2014,Tuesday,4,March,2014,Australia,Carnival / Shrove Tuesday, 
3/5/2014,Wednesday,5,March,2014,Australia,Ash Wednesday,National Holiday
3/6/2014,Thursday,6,March,2014,Australia,Foundation Day, 
3/10/2014,Monday,10,March,2014,Australia,May Day,State Holiday
3/10/2014,Monday,10,March,2014,Australia,Eight Hours Day,"All except Christmas Island, Heard and McDonald Islands"
3/10/2014,Monday,10,March,2014,Australia,Adelaide Cup,Observance
3/10/2014,Monday,10,March,2014,Australia,Canberra Day, 
3/16/2014,Sunday,16,March,2014,Australia,Purim,State Holiday
3/17/2014,Monday,17,March,2014,Australia,St Patrick's Day,Tasmania*
3/21/2014,Friday,21,March,2014,Australia,March Equinox,Observance
3/20/2014,Thursday,20,March,2014,Australia,National Close the Gap Day, 
3/21/2014,Friday,21,March,2014,Australia,Harmony Day,State Holiday
4/6/2014,Sunday,6,April,2014,Australia,Daylight Saving Time ends,Western Australia
4/6/2014,Sunday,6,April,2014,Australia,Self Determination Day,Christian
4/7/2014,Monday,7,April,2014,Australia,Day off for Self Determination Day, 
4/13/2014,Sunday,13,April,2014,Australia,Palm Sunday,Christian
4/15/2014,Tuesday,15,April,2014,Australia,First day of Passover, 
4/17/2014,Thursday,17,April,2014,Australia,Maundy Thursday,State Holiday
4/18/2014,Friday,18,April,2014,Australia,Good Friday,Norfolk Island
4/18/2014,Friday,18,April,2014,Australia,Orthodox Good Friday,State Holiday
4/18/2014,Friday,18,April,2014,Australia,Good Friday,Victoria
4/19/2014,Saturday,19,April,2014,Australia,Orthodox Holy Saturday,State Holiday
4/19/2014,Saturday,19,April,2014,Australia,Holy Saturday,Tasmania
4/20/2014,Sunday,20,April,2014,Australia,Orthodox Easter,State Holiday
4/20/2014,Sunday,20,April,2014,Australia,Easter Sunday,South Australia
4/20/2014,Sunday,20,April,2014,Australia,Easter Sunday,State Holiday
4/21/2014,Monday,21,April,2014,Australia,Orthodox Easter Monday,Australian Capital Territory
4/21/2014,Monday,21,April,2014,Australia,Easter Monday,Jewish holiday
4/22/2014,Tuesday,22,April,2014,Australia,Last day of Passover, 
4/22/2014,Tuesday,22,April,2014,Australia,Easter Tuesday,Observance
4/25/2014,Friday,25,April,2014,Australia,ANZAC Day, 
4/25/2014,Friday,25,April,2014,Australia,ANZAC Day,Season
4/25/2014,Friday,25,April,2014,Australia,ANZAC Day Observed, 
4/28/2014,Monday,28,April,2014,Australia,Yom HaShoah,Observance
5/5/2014,Monday,5,May,2014,Australia,May Day, 
5/6/2014,Tuesday,6,May,2014,Australia,Yom HaAtzmaut,Observance
5/11/2014,Sunday,11,May,2014,Australia,Mother's Day, 
5/18/2014,Sunday,18,May,2014,Australia,Lag B'Omer,Clock change/Daylight Saving Time
5/26/2014,Monday,26,May,2014,Australia,National Sorry Day, 
5/27/2014,Tuesday,27,May,2014,Australia,Isra and Mi'raj,State Holiday
5/29/2014,Thursday,29,May,2014,Australia,Ascension Day,Cocos and Keeling Islands
6/2/2014,Monday,2,June,2014,Australia,Western Australia Day,State Holiday
6/4/2014,Wednesday,4,June,2014,Australia,Shavuot,Cocos and Keeling Islands
6/6/2014,Friday,6,June,2014,Australia,Queensland Day,Christian
6/8/2014,Sunday,8,June,2014,Australia,Pentecost, 
6/8/2014,Sunday,8,June,2014,Australia,Bounty Day,Jewish holiday
6/9/2014,Monday,9,June,2014,Australia,Whit Monday, 
6/9/2014,Monday,9,June,2014,Australia,Queen's Birthday,Christian
6/9/2014,Monday,9,June,2014,Australia,Queen's Birthday, 
6/9/2014,Monday,9,June,2014,Australia,Day off for Bounty Day,Restricted Trading Day
6/15/2014,Sunday,15,June,2014,Australia,Trinity Sunday,Victoria
6/16/2014,Monday,16,June,2014,Australia,Queen's Birthday,Orthodox
6/19/2014,Thursday,19,June,2014,Australia,Corpus Christi, 
6/21/2014,Saturday,21,June,2014,Australia,June Solstice,National Holiday
6/29/2014,Sunday,29,June,2014,Australia,Ramadan Start, 
7/6/2014,Sunday,6,July,2014,Australia,First Day of NAIDOC Week,Orthodox
7/24/2014,Thursday,24,July,2014,Australia,Laylatul Qadr (Night of Power), 
7/28/2014,Monday,28,July,2014,Australia,Hari Raya Puasa,State Holiday
7/29/2014,Tuesday,29,July,2014,Australia,Eid ul Fitr,"ACT, Heard and McDonald Islands, NSW, NT, Qld, SA, Vic"
8/4/2014,Monday,4,August,2014,Australia,New South Wales Bank Holiday,Orthodox
8/4/2014,Monday,4,August,2014,Australia,Northern Territory Picnic Day, 
8/5/2014,Tuesday,5,August,2014,Australia,Tisha B'Av,Observance
8/13/2014,Wednesday,13,August,2014,Australia,Royal National Agricultural Show Day Queensland,All
8/15/2014,Friday,15,August,2014,Australia,Assumption of Mary,State Holiday
9/7/2014,Sunday,7,September,2014,Australia,Father's Day,New South Wales
9/23/2014,Tuesday,23,September,2014,Australia,September Equinox,Orthodox
9/25/2014,Thursday,25,September,2014,Australia,Rosh Hashana, 
9/29/2014,Monday,29,September,2014,Australia,Queen's Birthday,National Holiday
9/29/2014,Monday,29,September,2014,Australia,Family & Community Day, 
10/4/2014,Saturday,4,October,2014,Australia,Feast of St Francis of Assisi,Jewish holiday
10/4/2014,Saturday,4,October,2014,Australia,Yom Kippur, 
10/5/2014,Sunday,5,October,2014,Australia,Daylight Saving Time starts,State Public Sector Holiday
10/5/2014,Sunday,5,October,2014,Australia,Eid ul Adha,Tasmania
10/6/2014,Monday,6,October,2014,Australia,Hari Raya Haji,National Holiday
10/6/2014,Monday,6,October,2014,Australia,Territory Day,"All except NT, WA"
10/6/2014,Monday,6,October,2014,Australia,Labour Day,State Holiday
10/9/2014,Thursday,9,October,2014,Australia,First day of Sukkot,Northern Territory
10/13/2014,Monday,13,October,2014,Australia,Norfolk Island Agricultural Show Day,Half Day Restricted Trading Day
10/15/2014,Wednesday,15,October,2014,Australia,Hoshana Rabbah,Victoria
10/16/2014,Thursday,16,October,2014,Australia,Shemini Atzeret,Jewish commemoration
10/17/2014,Friday,17,October,2014,Australia,Simchat Torah, 
10/23/2014,Thursday,23,October,2014,Australia,Diwali/Deepavali,State Holiday
10/25/2014,Saturday,25,October,2014,Australia,Muharram/Islamic New Year,Northern Territory
10/31/2014,Friday,31,October,2014,Australia,Halloween,Jewish holiday
11/1/2014,Saturday,1,November,2014,Australia,All Saints' Day, 
11/2/2014,Sunday,2,November,2014,Australia,All Souls' Day,Observance
11/3/2014,Monday,3,November,2014,Australia,Recreation Day, 
11/4/2014,Tuesday,4,November,2014,Australia,Melbourne Cup Day,Jewish holiday
11/11/2014,Tuesday,11,November,2014,Australia,Remembrance Day, 
11/14/2014,Friday,14,November,2014,Australia,G20 Leaders’ Summit Public Holiday (Brisbane),Observance
11/26/2014,Wednesday,26,November,2014,Australia,Thanksgiving Day, 
11/30/2014,Sunday,30,November,2014,Australia,First Sunday of Advent,Muslim
12/8/2014,Monday,8,December,2014,Australia,Feast of the Immaculate Conception, 
12/17/2014,Wednesday,17,December,2014,Australia,First Day of Hanukkah,Christian
12/22/2014,Monday,22,December,2014,Australia,December Solstice, 
12/24/2014,Wednesday,24,December,2014,Australia,Last day of Hanukkah,Common State holiday
12/24/2014,Wednesday,24,December,2014,Australia,Christmas Eve,Western Australia
12/24/2014,Wednesday,24,December,2014,Australia,Christmas Eve,Jewish holiday
12/25/2014,Thursday,25,December,2014,Australia,Christmas Day, 
12/26/2014,Friday,26,December,2014,Australia,Boxing Day,Local observance
12/26/2014,Friday,26,December,2014,Australia,Proclamation Day, 
12/31/2014,Wednesday,31,December,2014,Australia,New Year's Eve,Christian
12/31/2014,Wednesday,31,December,2014,Australia,New Year's Eve, 
1/1/2014,Wednesday,1,January,2014,Australia,New Year's Day,State Holiday
1/6/2014,Monday,6,January,2014,Australia,Epiphany,Norfolk Island
1/7/2014,Tuesday,7,January,2014,Australia,Orthodox Christmas Day,Christian
1/14/2014,Tuesday,14,January,2014,Australia,Milad un Nabi (Mawlid), 
